owner_acronym,source_year,total_entries,total_source_scraper,total_source_csv,error_entries,error_source_scraper,error_source_csv,total_non_duplicate_entries,total_duplicate_entries
lac,2012,77,77,0,0,0,0,77,0
lac,2013,288,288,0,0,0,0,283,5
lac,2014,236,236,0,0,0,0,235,1
lac,2015,196,196,0,1,1,0,193,3
lac,2016,186,117,69,0,0,0,181,5
lac,2017,198,0,198,0,0,0,196,2
lac,2018,208,0,208,0,0,0,205,3
lac,2019,155,0,155,0,0,0,151,4
lac,2020,79,0,79,0,0,0,69,10
mgerc,2015,2,0,2,0,0,0,2,0
mgerc,2016,26,0,26,0,0,0,26,0
mgerc,2017,17,0,17,0,0,0,17,0
mgerc,2018,18,0,18,0,0,0,18,0
mgerc,2019,13,0,13,0,0,0,13,0
mgerc,2020,10,0,10,0,0,0,10,0
mpcc,2016,24,0,24,0,0,0,21,3
mpcc,2017,27,0,27,0,0,0,25,2
mpcc,2018,27,0,27,0,0,0,27,0
mpcc,2019,24,0,24,0,0,0,24,0
mpcc,2020,22,0,22,0,0,0,22,0
nbc,2019,100,0,100,0,0,0,92,8
nbc,2020,21,0,21,0,0,0,21,0
nfb,2016,46,0,46,0,0,0,46,0
nfb,2017,217,0,217,0,0,0,216,1
nfb,2018,145,0,145,0,0,0,144,1
nfb,2019,252,0,252,0,0,0,251,1
nfb,2020,114,0,114,0,0,0,113,1
nfb,,3,0,3,3,0,3,3,0
nrc,2009,2840,0,2840,0,0,0,2828,12
nrc,2010,2734,0,2734,0,0,0,2723,11
nrc,2011,2453,0,2453,0,0,0,2435,18
nrc,2012,2051,0,2051,16,0,16,2042,9
nrc,2013,2387,0,2387,0,0,0,2375,12
nrc,2014,2278,0,2278,0,0,0,2261,17
nrc,2015,2759,0,2759,23,0,23,2684,75
nrc,2016,2931,0,2931,0,0,0,2874,57
nrc,2017,3151,0,3151,24,0,24,3045,106
nrc,2018,3142,0,3142,41,0,41,2991,151
nrc,2019,3244,0,3244,30,0,30,3134,110
nrc,2020,1931,0,1931,7,0,7,1871,60
nrc,,24,0,24,24,0,24,24,0
nrcan,2011,4227,2113,2114,32,32,0,2129,2098
nrcan,2012,4011,2014,1997,349,326,23,2311,1700
nrcan,2013,3953,1976,1977,451,397,54,2358,1595
nrcan,2014,4358,2179,2179,324,222,102,2385,1973
nrcan,2015,4048,2022,2026,56,28,28,2044,2004
nrcan,2016,3369,1214,2155,43,20,23,2111,1258
nrcan,2017,2349,0,2349,90,0,90,2229,120
nrcan,2018,2308,0,2308,87,0,87,2256,52
nrcan,2019,2111,0,2111,50,0,50,2076,35
